timestamp,open,high,low,close
1724083200000,2503.848,2507.345,2500.605,2505.345
1724097600000,2505.515,2505.538,2501.928,2503.515
1724112000000,2503.615,2508.065,2498.558,2501.665
1724126400000,2501.685,2515.005,2497.235,2514.825
1724140800000,2514.825,2526.978,2514.275,2526.178
1724155200000,2526.205,2531.558,2505.654,2508.398
1724169600000,2508.368,2515.304,2500.685,2514.878
1724184000000,2514.938,2516.828,2512.638,2512.795
1724198400000,2512.795,2519.795,2510.725,2517.275
1724212800000,2517.325,2519.428,2508.005,2509.635
1724227200000,2509.595,2513.115,2504.345,2511.698
1724241600000,2511.698,2513.585,2493.698,2508.194
1724256000000,2508.278,2518.995,2503.065,2511.418
1724270400000,2511.325,2514.235,2509.668,2512.585
1724284800000,2512.635,2514.545,2499.815,2502.268
1724299200000,2502.205,2510.485,2499.204,2506.948
1724313600000,2506.935,2509.008,2497.895,2499.395
1724328000000,2499.465,2504.045,2470.705,2481.768
1724342400000,2481.798,2485.885,2478.425,2482.795
1724356800000,2482.868,2487.525,2482.348,2487.475
1724371200000,2487.475,2493.618,2486.355,2493.075
1724385600000,2493.095,2495.665,2490.465,2493.335
1724400000000,2493.275,2502.355,2492.935,2501.495
1724414400000,2501.495,2518.195,2494.315,2509.678
1724428800000,2509.678,2513.105,2501.668,2510.698
1724443200000,2510.708,2512.575,2509.448,2512.235
1724457600000,2512.235,2512.235,2512.235,2512.235
1724472000000,2512.235,2512.235,2512.235,2512.235
1724486400000,2512.235,2512.235,2512.235,2512.235
1724500800000,2512.235,2512.235,2512.235,2512.235
1724515200000,2512.235,2512.235,2512.235,2512.235
1724529600000,2512.235,2512.235,2512.235,2512.235
1724544000000,2512.235,2512.235,2512.235,2512.235
1724558400000,2512.235,2512.235,2512.235,2512.235
1724572800000,2512.235,2512.235,2512.235,2512.235
1724587200000,2512.235,2512.235,2512.235,2512.235
1724601600000,2512.235,2512.235,2512.235,2512.235
1724616000000,2512.235,2516.585,2510.105,2515.785
1724630400000,2515.795,2516.845,2509.205,2509.745
1724644800000,2509.725,2521.715,2508.585,2521.305
1724659200000,2521.305,2526.708,2520.585,2526.425
1724673600000,2526.425,2526.648,2510.548,2515.748
1724688000000,2515.705,2523.255,2513.465,2518.048
1724702400000,2518.078,2518.958,2515.335,2515.335
1724716800000,2515.355,2516.625,2505.698,2508.955
1724731200000,2508.955,2517.395,2504.458,2504.858
1724745600000,2504.858,2513.605,2503.415,2511.355
1724760000000,2511.355,2520.205,2503.325,2512.045
1724774400000,2511.985,2525.818,2509.758,2524.975
1724788800000,2524.965,2528.888,2523.675,2525.178
1724803200000,2525.155,2525.725,2513.115,2515.755
1724817600000,2515.745,2516.035,2503.338,2509.865
1724832000000,2509.865,2511.275,2500.615,2501.338
1724846400000,2501.305,2510.505,2493.515,2506.058
1724860800000,2506.018,2509.465,2496.295,2507.528
1724875200000,2507.585,2508.685,2502.675,2508.094
1724889600000,2508.094,2516.695,2507.964,2516.475
1724904000000,2516.495,2521.065,2513.635,2519.025
1724918400000,2519.055,2524.295,2514.954,2519.785
1724932800000,2519.758,2525.498,2503.515,2522.438
1724947200000,2522.455,2528.558,2517.305,2521.045
1724961600000,2521.068,2522.218,2518.725,2519.435
1724976000000,2519.455,2519.968,2512.175,2513.425
1724990400000,2513.365,2523.848,2512.035,2519.215
1725004800000,2519.198,2526.725,2514.885,2519.378
1725019200000,2519.275,2524.575,2500.135,2502.365
1725033600000,2502.365,2505.955,2494.048,2502.208
1725048000000,2502.185,2503.398,2501.775,2502.925
1725062400000,2502.925,2502.925,2502.925,2502.925
1725076800000,2502.925,2502.925,2502.925,2502.925
1725091200000,2502.925,2502.925,2502.925,2502.925
1725105600000,2502.925,2502.925,2502.925,2502.925
1725120000000,2502.925,2502.925,2502.925,2502.925
1725134400000,2502.925,2502.925,2502.925,2502.925
1725148800000,2502.925,2502.925,2502.925,2502.925
1725163200000,2502.925,2502.925,2502.925,2502.925
1725177600000,2502.925,2502.925,2502.925,2502.925
1725192000000,2502.925,2502.925,2502.925,2502.925
1725206400000,2502.925,2502.925,2502.925,2502.925
1725220800000,2502.925,2504.545,2501.195,2502.885
1725235200000,2502.875,2504.825,2489.915,2496.165
1725249600000,2496.175,2501.285,2495.145,2498.105
1725264000000,2498.075,2507.125,2496.995,2499.678
1725278400000,2499.645,2503.075,2497.565,2501.495
1725292800000,2501.505,2501.805,2498.515,2499.228
1725307200000,2499.228,2499.855,2496.305,2497.175
1725321600000,2497.155,2497.548,2489.534,2494.665
1725336000000,2494.655,2501.938,2492.635,2500.725
1725350400000,2500.725,2506.165,2484.575,2489.558
1725364800000,2489.558,2502.034,2473.245,2488.285
1725379200000,2488.285,2494.295,2483.808,2491.978
1725393600000,2491.978,2494.524,2491.248,2493.155
1725408000000,2493.115,2496.835,2491.155,2494.945
1725422400000,2494.955,2496.625,2481.885,2482.045
1725436800000,2482.045,2491.085,2471.718,2489.085
1725451200000,2489.085,2500.145,2481.915,2493.938
1725465600000,2493.915,2497.848,2491.415,2493.275
1725480000000,2493.275,2496.825,2492.835,2495.695
1725494400000,2495.768,2499.174,2494.355,2494.718
1725508800000,2494.708,2507.445,2493.665,2506.325
1725523200000,2506.385,2518.258,2505.875,2515.075
1725537600000,2515.085,2523.448,2503.805,2507.018
1725552000000,2507.015,2516.778,2505.955,2514.778
1725566400000,2514.865,2517.828,2514.765,2517.125
1725580800000,2517.155,2518.258,2512.895,2518.155
1725595200000,2518.155,2521.668,2516.175,2516.408
1725609600000,2516.355,2520.205,2514.595,2516.165
1725624000000,2516.135,2529.125,2500.375,2505.318
1725638400000,2505.295,2505.645,2485.015,2495.868
1725652800000,2495.838,2497.758,2494.668,2497.035
1725667200000,2497.035,2497.035,2497.035,2497.035
1725681600000,2497.035,2497.035,2497.035,2497.035
1725696000000,2497.035,2497.035,2497.035,2497.035
1725710400000,2497.035,2497.035,2497.035,2497.035
1725724800000,2497.035,2497.035,2497.035,2497.035
1725739200000,2497.035,2497.035,2497.035,2497.035
1725753600000,2497.035,2497.035,2497.035,2497.035
1725768000000,2497.035,2497.035,2497.035,2497.035
1725782400000,2497.035,2497.035,2497.035,2497.035
